energy,tempo,danceability,loudness,liveness,valence,time_signature,speechiness,track_popularity,mode,key,duration_ms,acousticness
0.67,139.956,0.79,-5.527,0.119,0.408,4,0.105,75,1,1,195950,0.377
0.733,97.974,0.825,-5.625,0.112,0.62,4,0.0969,75,0,1,190331,0.349
0.567,75.965,0.574,-7.126,0.258,0.526,4,0.465,78,0,7,229938,0.164
0.434,150.062,0.833,-8.795,0.165,0.281,4,0.431,81,1,2,204600,0.0102
0.665,94.329,0.583,-3.885,0.112,0.463,4,0.18,75,1,1,155368,0.314
0.346,119.957,0.963,-9.309,0.108,0.562,4,0.53,75,0,5,142273,0.0355
0.577,148.107,0.797,-5.617,0.301,0.17,4,0.195,72,1,1,206031,0.0174
0.59,119.97,0.88,-4.709,0.184,0.723,4,0.204,68,0,8,170000,0.08
0.631,129.902,0.807,-4.883,0.117,0.126,4,0.111,70,1,8,213613,0.407
0.413,131.964,0.772,-8.194,0.111,0.211,4,0.0891,77,0,0,246213,0.0361
0.822,165.946,0.513,-4.51,0.11,0.768,4,0.383,69,1,1,204668,0.14
0.666,127.079,0.926,-5.314,0.123,0.168,4,0.244,70,1,11,343150,0.0611
0.575,145.95,0.713,-6.706,0.169,0.189,4,0.0501,72,1,1,226400,0.00669
0.586,124.041,0.808,-7.242,0.14,0.568,4,0.169,68,0,10,263288,0.641
0.676,162.012,0.814,-4.67,0.119,0.312,4,0.231,83,0,11,267707,0.00709
0.928,109.966,0.616,-2.34,0.156,0.23,4,0.043,70,0,9,230182,0.0168
0.542,135.14,0.926,-5.064,0.0877,0.564,4,0.293,70,1,1,181929,0.135
0.637,135.055,0.851,-6.149,0.227,0.616,4,0.104,73,1,0,179556,0.225
0.718,128.14,0.76,-3.017,0.0982,0.557,4,0.232,72,1,1,191295,0.348
0.748,115.01,0.752,-3.755,0.105,0.497,4,0.0895,70,1,6,295304,0.289
0.536,119.967,0.689,-8.861,0.169,0.349,4,0.174,69,1,8,341135,0.25
0.531,118.96,0.566,-6.635,0.179,0.367,4,0.0716,73,1,6,227518,0.192
0.657,124.992,0.883,-5.748,0.128,0.284,4,0.305,77,1,8,172933,0.0603
0.88,92.055,0.753,-3.165,0.146,0.582,4,0.081,73,1,11,127826,0.455
0.496,86.003,0.889,-6.365,0.252,0.544,4,0.0905,74,0,4,180522,0.259
0.708,96.914,0.712,-5.715,0.29,0.634,4,0.247,71,0,10,165773,0.404
0.696,120.146,0.744,-5.015,0.0808,0.406,4,0.117,69,0,8,260493,0.71
0.629,140.101,0.523,-4.058,0.323,0.209,4,0.0549,68,1,1,283121,0.156
0.735,99.827,0.697,-4.16,0.099,0.403,3,0.0497,73,0,10,162970,0.172
0.671,147.037,0.607,-6.934,0.128,0.316,4,0.0863,68,0,4,137143,0.403
0.486,110.964,0.784,-6.497,0.101,0.0894,4,0.0475,80,0,5,265996,0.0538
0.583,116.624,0.709,-5.298,0.195,0.533,4,0.204,79,0,5,182667,0.138
0.385,129.958,0.69,-8.444,0.236,0.19,4,0.0817,68,1,0,226101,0.181
0.411,172.445,0.722,-9.963,0.0976,0.503,3,0.387,70,0,2,142026,0.509
0.484,133.03,0.93,-5.486,0.0922,0.747,4,0.259,70,1,2,144361,0.355
0.6,113.903,0.883,-7.188,0.0931,0.691,4,0.37,72,1,7,156430,0.114
0.73,155.008,0.834,-3.714,0.124,0.446,4,0.222,81,1,8,312820,0.00513
0.668,87.973,0.573,-4.356,0.109,0.145,4,0.0467,82,0,7,199920,0.189
0.603,135.993,0.735,-9.474,0.0844,0.429,4,0.203,71,0,6,326937,0.226
0.637,171.264,0.567,-4.032,0.235,0.882,3,0.298,68,0,9,131765,0.499
0.874,118.079,0.774,-5.641,0.413,0.927,4,0.0488,75,0,5,174053,0.142
0.792,113.981,0.749,-4.621,0.0712,0.903,4,0.0402,76,1,5,172632,0.308
0.812,100.049,0.455,-3.455,0.199,0.823,4,0.211,68,1,8,184249,0.372
0.648,93.2,0.737,-5.493,0.105,0.746,4,0.138,77,1,1,259354,0.252
0.814,93.482,0.683,-3.505,0.0858,0.758,4,0.0466,78,1,2,156826,0.277
0.683,145.379,0.501,-7.881,0.0685,0.623,5,0.211,71,0,6,161379,0.109
0.634,101.837,0.502,-3.367,0.188,0.645,3,0.144,72,0,8,219628,0.677
0.651,112.648,0.694,-6.968,0.0787,0.471,3,0.0784,93,1,6,225881,0.496
0.581,99.973,0.805,-5.091,0.0933,0.528,4,0.0601,86,0,6,177600,0.0303
0.563,105.008,0.833,-5.593,0.139,0.343,4,0.204,82,0,4,182857,0.528
0.737,101.923,0.779,-4.667,0.0974,0.445,4,0.109,76,1,11,170366,0.134
0.662,95.999,0.863,-5.855,0.334,0.307,4,0.21,72,0,4,248363,0.0843
0.482,100.029,0.69,-6.335,0.0728,0.356,4,0.2,88,0,7,149074,0.523
0.668,128.027,0.924,-6.795,0.0678,0.787,4,0.0469,93,1,11,195824,0.446
0.762,90.025,0.816,-2.864,0.0845,0.782,4,0.0565,72,1,0,218701,0.534
0.718,105.002,0.848,-4.385,0.116,0.564,4,0.0557,74,0,9,165901,0.183
0.712,91.98,0.848,-3.574,0.106,0.692,4,0.0981,84,0,1,298131,0.221
0.627,155.865,0.687,-4.975,0.0893,0.47,4,0.181,78,1,7,206066,0.326
0.483,171.831,0.753,-6.436,0.0681,0.826,4,0.273,72,0,3,177209,0.0189
0.724,101.097,0.556,-3.165,0.217,0.681,3,0.119,82,1,0,246889,0.267
0.442,100.021,0.776,-8.99,0.0723,0.838,4,0.0575,81,0,6,136944,0.319
0.614,119.893,0.658,-6.981,0.092,0.465,3,0.0324,79,1,10,178337,0.105
0.681,155.079,0.56,-6.304,0.106,0.388,4,0.244,89,0,6,223320,0.103
0.719,104.033,0.707,-4.963,0.371,0.701,4,0.0395,76,0,4,162205,0.223
0.536,97.541,0.716,-7.798,0.208,0.359,3,0.0328,84,0,2,240669,0.452
0.594,125.01,0.694,-8.39,0.131,0.672,3,0.0366,75,0,8,307565,0.396
0.752,100.076,0.841,-4.735,0.949,0.67,4,0.105,86,1,2,214643,0.167
0.709,194.055,0.744,-5.778,0.0847,0.712,4,0.284,79,0,6,130880,0.0501
0.707,82.045,0.786,-4.386,0.121,0.691,4,0.0635,84,0,7,225373,0.0399
0.832,98.582,0.742,-4.267,0.296,0.716,4,0.0325,82,1,8,195846,0.0857
0.616,104.008,0.773,-4.516,0.145,0.25,4,0.0416,72,1,0,190107,0.0565
0.689,120.208,0.724,-7.174,0.0922,0.936,3,0.0524,89,0,7,146141,0.573
0.74,117.955,0.748,-3.643,0.087,0.618,4,0.0387,75,0,7,198607,0.0292
0.856,136,0.691,-5.035,0.0876,0.713,3,0.0536,75,0,6,157500,0.2
0.464,79.503,0.373,-8.606,0.127,0.301,3,0.256,80,0,4,237908,0.86
0.783,103.001,0.705,-4.783,0.0984,0.454,4,0.0403,86,0,9,172427,0.138
0.631,111.93,0.706,-5.812,0.227,0.289,4,0.0366,80,0,0,171429,0.656
0.445,156.023,0.55,-9.548,0.507,0.512,4,0.0847,73,1,7,166159,0.262
0.764,148.853,0.666,-6.297,0.347,0.729,4,0.116,85,0,4,163115,0.366
0.162,184.784,0.459,-11.634,0.137,0.483,3,0.0425,79,1,0,153609,0.929
0.834,139.995,0.783,-4.623,0.0903,0.92,3,0.029,81,0,3,160714,0.539
0.682,100.036,0.75,-3.825,0.112,0.618,4,0.0945,79,1,10,165178,0.168
0.578,199.997,0.734,-4.147,0.113,0.88,4,0.295,82,1,1,142022,0.155
0.513,109.935,0.745,-9.116,0.216,0.929,3,0.087,88,1,1,154620,0.783
0.824,124.997,0.747,-4.353,0.282,0.793,3,0.0348,77,0,7,168547,0.184
0.787,165.07,0.809,-3.826,0.0653,0.9,4,0.125,68,1,8,148152,0.126
0.356,169.653,0.529,-6.612,0.136,0.659,3,0.0569,85,1,3,150523,0.29
0.806,123.009,0.763,-4.946,0.0612,0.594,4,0.0532,73,1,2,193521,0.0012
