artists,track_name,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Kitri,Sympathy,49,210760,0.69,0.423,-9.194,0.0294,0.883,0.0123,0.111,0.59,130.121,4
Boyce Avenue;Rachel Grae,Let It Go,51,255688,0.599,0.349,-9.269,0.0301,0.819,0,0.112,0.444,147.913,4
Chord Overstreet,What You Need,53,181786,0.519,0.264,-11.171,0.0601,0.918,0.000253,0.237,0.192,140.354,4
Five For Fighting,100 Years,66,244600,0.643,0.569,-7.459,0.0276,0.544,2.17E-05,0.178,0.275,120.507,4
Andrew Belle,You're the Sea,56,174546,0.573,0.624,-9.076,0.0324,0.471,0.117,0.114,0.529,161.025,4
Rachael Yamagata,No Direction,47,234330,0.654,0.821,-5.472,0.0264,0.00666,0.00299,0.228,0.613,111.958,4
Cary Brothers,Belong,51,255600,0.426,0.399,-8.447,0.034,0.761,0.00112,0.118,0.217,115.979,4
The Mayries,As It Was,55,176542,0.505,0.21,-11.349,0.0295,0.907,0,0.11,0.323,80.721,4
Jason Mraz,I'm Yours,60,243494,0.693,0.43,-9.395,0.0442,0.565,0,0.0928,0.731,151.001,4
Joseph Sullinger,Chi Mai,40,188695,0.739,0.287,-14.007,0.059,0.969,0.961,0.111,0.557,80.64,4
A Great Big World;Christina Aguilera,Say Something,58,229400,0.453,0.146,-8.976,0.0343,0.867,3.49E-06,0.0945,0.0915,137.905,3
Parachute,Had It All,55,216853,0.606,0.54,-6.271,0.0339,0.182,0.000144,0.144,0.249,79.952,4
Zack Tabudlo;Yonnyboii,Take Me Back ft. Yonnyboii,50,149000,0.595,0.646,-5.495,0.0327,0.11,0,0.258,0.563,120.049,4
Tobey Rosen,Whole Again - Acoustic Version,52,157231,0.736,0.145,-9.215,0.0336,0.855,0,0.108,0.235,129.832,4
The Mayries,Overpass Graffiti,54,226603,0.479,0.126,-13.974,0.0303,0.966,0,0.113,0.279,96.327,4
Sara Bareilles,Love Song,73,258826,0.583,0.786,-3.142,0.0301,0.0208,0,0.188,0.573,123.055,4
Andrew Foy;Renee Foy,Let Her Go,38,194013,0.549,0.291,-13.457,0.0388,0.858,0.000846,0.129,0.376,75.153,4
Aqualung,Brighter Than Sunshine,53,242439,0.418,0.489,-8.373,0.0323,0.287,0.0288,0.42,0.398,72.891,4
Tyler Ward;Karis;Ray Lorraine,Love Story,55,232500,0.498,0.12,-17.721,0.0487,0.851,0,0.171,0.338,121.187,4
Agustín Amigó;Nylonwings,Mujer con Abanico,41,156787,0.769,0.135,-12.049,0.061,0.986,0.905,0.106,0.471,103.939,4
Amy Stroup,In the Shadows,46,263823,0.434,0.469,-7.849,0.0265,0.52,0.000328,0.108,0.0568,136.282,4
Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,63,250916,0.452,0.198,-9.374,0.0335,0.931,2.24E-06,0.1,0.217,119.499,4
Brandi Carlile,The Story,66,238493,0.544,0.5,-8.253,0.026,0.0325,3.78E-06,0.109,0.177,93.621,4
JJ Heller,Better,54,215906,0.662,0.187,-9.003,0.0268,0.969,0.000273,0.0922,0.233,104.988,4
Kina Grannis,Iris,62,181136,0.497,0.13,-15.571,0.0436,0.841,0,0.111,0.179,130.769,3
The Mayries,Rockabye - Acoustic Version,57,157466,0.528,0.291,-9.696,0.0401,0.914,0,0.121,0.355,76.805,4
Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,68,233728,0.461,0.522,-7.513,0.043,0.36,0,0.123,0.446,157.768,4
Boyce Avenue,Beautiful Soul,62,216612,0.483,0.506,-6.058,0.0347,0.394,0,0.0946,0.705,87.337,4
Jason Mraz,Let's See What The Night Can Do,53,245186,0.392,0.423,-7.813,0.0348,0.27,0,0.117,0.288,113.537,4
Rachael Yamagata,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",44,219613,0.42,0.2,-18.827,0.0492,0.929,0.49,0.0758,0.164,87.248,4
Parachute,Forever And Always,57,248960,0.657,0.716,-5.675,0.0301,0.014,0,0.0483,0.435,93.924,4
Priscilla Ahn,Fine On The Outside,52,252466,0.495,0.185,-13.824,0.0288,0.692,0.00403,0.109,0.196,101.89,4
Chord Overstreet,Tortured Soul,53,246613,0.55,0.499,-9.502,0.0338,0.472,2.26E-06,0.0798,0.144,86.966,1
JJ Heller,I Believe in You,53,198786,0.534,0.359,-9.311,0.0296,0.449,1.20E-05,0.331,0.267,131.804,4
Jon Bryant,At Home,55,226640,0.378,0.52,-10.965,0.0382,0.777,0.0888,0.0979,0.357,73.744,4
Donovan Woods,"Portland, Maine",66,203869,0.606,0.349,-13.967,0.0319,0.764,0.306,0.112,0.156,80.071,4
Ross Copperman,Holding On and Letting Go,49,317441,0.486,0.555,-9.466,0.0271,0.818,0.00269,0.109,0.0992,77.987,4
Joshua Hyslop,The Flood,60,261640,0.577,0.446,-11.343,0.0313,0.554,0.0782,0.116,0.262,81.005,4
Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),38,211933,0.59,0.407,-9.079,0.0361,0.861,9.95E-06,0.094,0.276,145.852,4
Stephen Speaks,Out of My League,67,218800,0.538,0.315,-10.057,0.0291,0.96,0.00596,0.0979,0.4,91.921,3
A Great Big World,Say Something,57,233266,0.447,0.158,-7.571,0.036,0.872,1.58E-06,0.0816,0.142,140.942,3
Eddie Vedder,Rise,60,156453,0.401,0.58,-6.86,0.0541,0.906,0.217,0.134,0.526,173.277,3
The Weepies;Deb Talan;Steve Tannen,World Spins Madly On,64,165133,0.502,0.311,-13.421,0.0285,0.617,4.32E-05,0.129,0.4,107.612,4
Freddie King,Stumble,0,216626,0.678,0.612,-9.764,0.0339,0.1,0.316,0.164,0.857,118.381,4
Taj Mahal,Paradise,0,251426,0.65,0.406,-13.492,0.0761,0.568,0,0.484,0.862,79.642,4
Keb' Mo';Gerald Albright,"Moonlight, Mistletoe & You",0,209293,0.649,0.399,-7.894,0.0256,0.184,0.000108,0.113,0.342,97.498,3
Motohiro Hata,ひまわりの約束,61,308146,0.523,0.445,-6.359,0.0329,0.188,0,0.18,0.336,78.957,4
Thomas Daniel,Since U Been Gone - Acoustic Version,50,221170,0.538,0.162,-13.31,0.0299,0.847,0,0.114,0.366,94.981,4
Masayoshi Yamazaki,"One more time,One more chance",47,330786,0.519,0.429,-7.707,0.0317,0.658,0,0.111,0.396,129.491,4
